X,Y,bemerkung,befundtyp,geometry_p,befundnumm,flaeche_id,befundart,befundtyp2,befund_id,kultur,abschnitt,epoche,bs_AZ,BOARTSTDKL,Bodenklass,BodTyp_T,AEPOT_K,bofu_AZ,reclass_ex,dgm10doarf,hoehe_uebe,neig20,X,Y
4500668.8891220232,5733278.8193499995,,Grube,3727,108,520000,Siedlung,Grube,16939,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,7.00000,85.59827,1.33327,0.24456,4500668.889122023200000,5733278.819349999500000
4500671.8798599467,5733272.72405,,Graben,3728,109,520000,unklar,Graben,16940,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,6.00000,85.55790,1.23232,0.24456,4500671.879859946700000,5733272.724050000300000
4500647.838269311,5733279.077,,Pfostengrube,3729,102,520000,Siedlung,Pfostengrube,16941,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,4.00000,85.56853,1.27161,0.39922,4500647.838269311000000,5733279.076999999600000
4500647.7707357202,5733275.214199999,"Beziehung zu Befund 104,-105, -140?",Pfostengrube,3730,103,520000,Siedlung,Pfostengrube,16942,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,4.00000,85.56853,1.27161,0.39922,4500647.770735720200000,5733275.214199999300000
4500658.2950373515,5733280.2293,,Grube,3731,106,520000,Siedlung,Grube,16943,,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,5.00000,85.60835,1.32722,0.31437,4500658.295037351500000,5733280.229300000700000
4500658.2950373515,5733280.2293,,Grube,3731,106,520000,Siedlung,Grube,16943,,,Eisenzeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,5.00000,85.60835,1.32722,0.31437,4500658.295037351500000,5733280.229300000700000
4500663.3109554946,5733274.5243,,Grube,3732,107,520000,Siedlung,Grube,16944,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,6.00000,85.56920,1.22838,0.24456,4500663.310955494600000,5733274.524299999700000
4500649.9362441022,5733273.976299999,"Beziehung zu Befund 103, -104, -140?",Pfostengrube,3734,105,520000,Siedlung,Pfostengrube,16946,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Schwarzerden,Braunerde-Tschernosem,5.00000,89,5.00000,85.56072,1.20493,0.39922,4500649.936244102200000,5733273.976299999300000
4500839.808844815,5733431.6289499998,,Pfostengrube,3735,1372,520000,Siedlung,Pfostengrube,16947,,,undat.,89.00000,"Lehm; Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,8.00000,84.15592,1.22286,0.47999,4500839.808844815000000,5733431.628949998900000
4500845.5882975869,5733422.987199999,,Pfostengrube,3736,1375,520000,Siedlung,Pfostengrube,16948,,,undat.,89.00000,"Lehm; Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,8.00000,84.11174,1.16560,0.62853,4500845.588297586900000,5733422.987199999400000
