"";"geometry_p.key";"befundnummer";"befund_id";"flaeche_id";"befundtyp";"befundart";"epoche";"abschnitt";"kultur";"dgm10doarf";"Hoehe.ueber.tiefenlinie";"neigung";"az";"aepot";"bodenklasse";"bodentyp";"area";"X";"Y"
"235";3839;1247;17051;520000;"Grube";"Siedlung";"undat.";NA;NA;84,27209;0,78123;0,63556;81;3;"Stauwasserbden";"Humuspseudogley";0,404;4500663,201;5733441,22
"236";4114;1017;17326;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;85,56072;1,20493;0,39922;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,178;4500649,683;5733272,075
"237";3840;245;17052;520000;"Grube";"Siedlung";"undat.";NA;NA;85,047;1,28272;0,61311;81;3;"Stauwasserbden";"Humuspseudogley";0,207;4500686,486;5733361,674
"238";3841;244;17053;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;85,38512;1,47501;0,4788;81;3;"Stauwasserbden";"Humuspseudogley";0,197;4500709,267;5733344,151
"239";3842;247;17054;520000;"sonstiger Befund";"unklar";"Neolithikum";"spaet";"Schnurkeramik";85,19101;1,26636;0,51175;81;3;"Stauwasserbden";"Humuspseudogley";1,494;4500722,918;5733327,08
"240";3843;246;17055;520000;"Herdstelle";"Siedlung";"Eisenzeit";"aelter";"Hausurnenkultur";85,05492;1,04912;0,68539;81;3;"Stauwasserbden";"Humuspseudogley";2,975;4500743,152;5733305,997
"241";3844;241;17056;520000;"Grube";"Siedlung";"Bronzezeit";"spaet";"Saalemuendungsgruppe";84,90257;1,16196;0,4788;81;3;"Stauwasserbden";"Humuspseudogley";0,736;4500713,597;5733357,901
"242";3845;240;17057;520000;"Grube";"Siedlung";"undat.";NA;NA;84,90257;1,16196;0,4788;81;3;"Stauwasserbden";"Humuspseudogley";1,172;4500702,335;5733358,843
"243";3846;243;17058;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;85,38512;1,47501;0,4788;81;3;"Stauwasserbden";"Humuspseudogley";0,1;4500711,393;5733344,173
"244";3847;242;17059;520000;"Graben";"unklar";"undat.";NA;NA;84,91601;1,11108;0,4788;81;3;"Stauwasserbden";"Humuspseudogley";0,566;4500715,078;5733354,212
"245";3848;249;17060;520000;"Grube";"Siedlung";"Eisenzeit";"aelter";"Hausurnenkultur";84,78128;1,09472;0,65151;81;3;"Stauwasserbden";"Humuspseudogley";0,48;4500702,98;5733372,885
"246";3849;248;17061;520000;"Ofen";"Siedlung";"Neolithikum";"spaet";"Schnurkeramik";85,19101;1,26636;0,51175;81;3;"Stauwasserbden";"Humuspseudogley";4,939;4500723,031;5733325,018
"247";3890;1144;17102;520000;"Pfostenbau";"Siedlung";"undat.";NA;NA;85,39057;1,48952;0,3832;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,695;4500586,233;5733376,891
"248";3850;179;17062;520000;"Grube";"Siedlung";"undat.";NA;NA;84,80667;1,15858;0,92382;81;3;"Stauwasserbden";"Humuspseudogley";0,455;4500653,427;5733406,335
"249";3851;178;17063;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,80667;1,15858;0,92382;81;3;"Stauwasserbden";"Humuspseudogley";0,137;4500651,946;5733405,679
"250";3852;177;17064;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,95833;1,26169;0,92382;81;3;"Stauwasserbden";"Humuspseudogley";0,213;4500650,813;5733404,464
"251";3854;175;17066;520000;"Grube";"Siedlung";"undat.";NA;NA;84,80667;1,15858;0,92382;81;3;"Stauwasserbden";"Humuspseudogley";0,764;4500653,174;5733408,747
"252";3855;174;17067;520000;"Grube";"Siedlung";"undat.";NA;NA;84,80667;1,15858;0,92382;81;3;"Stauwasserbden";"Humuspseudogley";0,258;4500653,06;5733410,906
"253";3856;173;17068;520000;"Grube";"Siedlung";"undat.";NA;NA;84,80667;1,15858;0,92382;81;3;"Stauwasserbden";"Humuspseudogley";0,246;4500651,83;5733410,116
"254";3857;172;17069;520000;"Grube";"Siedlung";"undat.";NA;NA;84,80667;1,15858;0,92382;81;3;"Stauwasserbden";"Humuspseudogley";0,309;4500651,098;5733407,1
"255";3858;171;17070;520000;"Grube";"Siedlung";"undat.";NA;NA;84,95833;1,26169;0,92382;81;3;"Stauwasserbden";"Humuspseudogley";0,256;4500647,183;5733404,561
"256";3891;1145;17103;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,5444;0,81777;0,71265;81;3;"Stauwasserbden";"Humuspseudogley";0,09;4500749,575;5733350,452
"257";3859;170;17071;520000;"Graben";"unklar";"undat.";NA;NA;84,93767;1,27034;0,92382;81;3;"Stauwasserbden";"Humuspseudogley";2,594;4500644,966;5733406,758
"258";3864;1506;17076;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,31314;0,85146;0,59162;81;3;"Stauwasserbden";"Humuspseudogley";0,111;4500764,658;5733389,99
"259";3865;1507;17077;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,31314;0,85146;0,59162;81;3;"Stauwasserbden";"Humuspseudogley";0,143;4500763,879;5733391,764
"260";3866;1505;17078;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,282;0,85299;0,59162;81;3;"Stauwasserbden";"Humuspseudogley";0,197;4500765,027;5733394,86
"261";3875;1613;17087;520000;"Grube";"Siedlung";"undat.";NA;NA;85,56213;1,34789;0,37863;81;5;"Schwarzerden";"Braunerde-Tschernosem";2,42;4500710,676;5733286,682
"262";3892;692;17104;520000;"Grube";"Siedlung";"undat.";NA;NA;85,56873;1,33714;0,25366;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,324;4500689,824;5733280,193
"263";3868;1618;17080;520000;"Grube";"Siedlung";"undat.";NA;NA;85,59328;1,34931;0,43211;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,305;4500715,886;5733273,937
"264";3870;1616;17082;520000;"Grube";"Siedlung";"undat.";NA;NA;85,59196;1,41396;0,43211;81;5;"Schwarzerden";"Braunerde-Tschernosem";1,023;4500715,671;5733279,976
"265";3871;1617;17083;520000;"Grube";"Siedlung";"undat.";NA;NA;85,59196;1,41396;0,43211;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,418;4500715,341;5733276,67
"266";3872;1614;17084;520000;"Grube";"Siedlung";"undat.";NA;NA;85,56213;1,34789;0,43211;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,529;4500707,831;5733277,872
"267";3873;1615;17085;520000;"Grube";"Siedlung";"undat.";NA;NA;85,53488;1,25703;0,43211;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,555;4500708,737;5733274,417
"268";3874;1612;17086;520000;"Grube";"Siedlung";"undat.";NA;NA;85,56213;1,34789;0,37863;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,768;4500709,059;5733285,286
"269";3889;1146;17101;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,5444;0,81777;0,71265;81;3;"Stauwasserbden";"Humuspseudogley";0,273;4500753,042;5733351,997
"270";4286;782;17498;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,28452;0,86494;0,46708;81;3;"Stauwasserbden";"Humuspseudogley";0,104;4500795,158;5733383,962
"271";3876;1610;17088;520000;"Grube";"Siedlung";"undat.";NA;NA;85,56213;1,34789;0,37863;81;5;"Schwarzerden";"Braunerde-Tschernosem";0,506;4500700,286;5733283,87
