geometry_p-key,befundnummer,befund_id,flaeche_id,befundtyp,befundart,epoche,abschnitt,kultur,dgm10doarf,Hoehe-ueber-tiefenlinie,neigung,az,aepot,bodenklasse,bodentyp,area,X,Y
4223,620,17435,520000,Grube,Siedlung,undat.,,,"84,85571","1,01581","0,51175",81,3,Stauwasserbden,Humuspseudogley,"0,527","4500729,52600","5733338,48000"
4224,1223,17436,520000,Pfostengrube,Siedlung,undat.,,,"84,48956","0,93423","0,93819",81,3,Stauwasserbden,Humuspseudogley,"0,127","4500654,63200","5733432,65500"
4225,626,17437,520000,Pfostengrube,Siedlung,undat.,,,"84,98298","1,08167","0,51175",81,3,Stauwasserbden,Humuspseudogley,"0,094","4500726,16400","5733328,62100"
4226,629,17438,520000,Grube,Siedlung,undat.,,,"85,63071","1,54328","0,27355",81,5,Schwarzerden,Braunerde-Tschernosem,"0,400","4500671,13800","5733318,26500"
4227,628,17439,520000,Grube,Siedlung,undat.,,,"84,78758","0,91047","0,51175",81,3,Stauwasserbden,Humuspseudogley,"1,025","4500738,91300","5733326,50100"
4228,1535,17440,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,31229","0,85854","0,46708",81,3,Stauwasserbden,Humuspseudogley,"2,092","4500784,68000","5733381,36900"
4228,1535,17440,520000,Grube,Siedlung,Eisenzeit,,,"84,31229","0,85854","0,46708",81,3,Stauwasserbden,Humuspseudogley,"2,092","4500784,68000","5733381,36900"
4229,2,17441,520000,Graben,unklar,undat.,,,"85,46953","1,52496","0,31992",81,5,Schwarzerden,Braunerde-Tschernosem,"0,701","4500563,00700","5733372,00200"
4230,1286,17442,520000,Grube,Siedlung,undat.,,,"85,08247","1,41412","0,92348",81,3,Stauwasserbden,Humuspseudogley,"0,279","4500618,53400","5733418,10700"
4231,11,17443,520000,Grube,Siedlung,undat.,,,"85,46500","1,53465","0,31992",81,5,Schwarzerden,Braunerde-Tschernosem,"0,576","4500574,66000","5733369,49000"
4232,10,17444,520000,Grube,Siedlung,undat.,,,"85,35767","1,44176","0,31992",81,5,Schwarzerden,Braunerde-Tschernosem,"1,477","4500575,25900","5733371,50200"
4233,13,17445,520000,sonstiger Befund,unklar,undat.,,,"85,35767","1,44176","0,31992",81,5,Schwarzerden,Braunerde-Tschernosem,"0,066","4500575,56300","5733369,16200"
4234,12,17446,520000,Pfostengrube,Siedlung,undat.,,,"85,35767","1,44176","0,31992",81,5,Schwarzerden,Braunerde-Tschernosem,"0,053","4500575,66400","5733370,43200"
4235,15,17447,520000,Pfostengrube,Siedlung,undat.,,,"85,35767","1,44176","0,38320",81,5,Schwarzerden,Braunerde-Tschernosem,"0,139","4500581,47200","5733371,34900"
4236,14,17448,520000,Pfostengrube,Siedlung,undat.,,,"85,35767","1,44176","0,31992",81,5,Schwarzerden,Braunerde-Tschernosem,"0,137","4500575,62200","5733368,37600"
4237,17,17449,520000,Grube,Siedlung,Bronzezeit,spaet,,"85,41423","1,44446","0,38320",81,5,Schwarzerden,Braunerde-Tschernosem,"0,607","4500581,14000","5733361,68700"
4237,17,17449,520000,Grube,Siedlung,Eisenzeit,,,"85,41423","1,44446","0,38320",81,5,Schwarzerden,Braunerde-Tschernosem,"0,607","4500581,14000","5733361,68700"
4238,16,17450,520000,Grube,Siedlung,undat.,,,"85,47754","1,38391","0,19799",81,5,Schwarzerden,Braunerde-Tschernosem,"2,953","4500573,62100","5733351,66700"
4239,19,17451,520000,Graben,unklar,undat.,,,"85,48681","1,42552","0,23077",81,5,Schwarzerden,Braunerde-Tschernosem,"0,766","4500593,29800","5733353,37200"
4240,18,17452,520000,Pfostengrube,Siedlung,undat.,,,"85,42709","1,47289","0,38320",81,5,Schwarzerden,Braunerde-Tschernosem,"0,061","4500589,57800","5733361,78700"
4241,1534,17453,520000,Grube,Siedlung,undat.,,,"84,28018","0,88499","0,59162",81,3,Stauwasserbden,Humuspseudogley,"2,303","4500776,65500","5733387,59100"
4242,201,17454,520000,Graben,unklar,undat.,,,"84,94092","1,23624","0,84345",81,3,Stauwasserbden,Humuspseudogley,"0,504","4500674,09300","5733385,58100"
4243,200,17455,520000,Pfostengrube,Siedlung,undat.,,,"85,10088","1,34477","0,84345",81,3,Stauwasserbden,Humuspseudogley,"0,109","4500671,77400","5733384,43200"
4255,1570,17467,520000,Grube,Siedlung,Bronzezeit,spaet,,"84,31229","0,85854","0,60433",81,3,Stauwasserbden,Humuspseudogley,"3,512","4500782,43600","5733372,20500"
4255,1570,17467,520000,Grube,Siedlung,Eisenzeit,,,"84,31229","0,85854","0,60433",81,3,Stauwasserbden,Humuspseudogley,"3,512","4500782,43600","5733372,20500"
4244,203,17456,520000,Grube,Siedlung,undat.,,,"85,00299","1,26904","0,84345",81,3,Stauwasserbden,Humuspseudogley,"0,367","4500675,21800","5733383,50400"
4245,202,17457,520000,Grube,Siedlung,undat.,,,"85,10088","1,34477","0,84345",81,3,Stauwasserbden,Humuspseudogley,"0,320","4500674,70500","5733384,52800"
4246,205,17458,520000,Pfostengrube,Siedlung,undat.,,,"85,10088","1,34477","0,84345",81,3,Stauwasserbden,Humuspseudogley,"0,088","4500674,39300","5733380,26400"
4247,204,17459,520000,Grube,Siedlung,undat.,,,"85,10088","1,34477","0,84345",81,3,Stauwasserbden,Humuspseudogley,"0,426","4500673,31300","5733382,44100"
4248,207,17460,520000,Pfostengrube,Siedlung,undat.,,,"85,10088","1,34477","0,60753",81,3,Stauwasserbden,Humuspseudogley,"0,068","4500674,87200","5733378,53600"
4249,206,17461,520000,Grube,Siedlung,undat.,,,"85,10088","1,34477","0,60753",81,3,Stauwasserbden,Humuspseudogley,"0,254","4500674,46300","5733379,13900"
4250,209,17462,520000,Pfostengrube,Siedlung,undat.,,,"85,00299","1,26904","0,60753",81,3,Stauwasserbden,Humuspseudogley,"0,090","4500676,26600","5733378,63500"
4251,208,17463,520000,Pfostengrube,Siedlung,undat.,,,"85,00299","1,26904","0,60753",81,3,Stauwasserbden,Humuspseudogley,"0,145","4500676,30900","5733379,09800"
4252,1573,17464,520000,Herdstelle,Siedlung,Bronzezeit,spaet,,"84,35255","0,83392","0,59162",81,3,Stauwasserbden,Humuspseudogley,"0,971","4500762,92600","5733381,10900"
4252,1573,17464,520000,Herdstelle,Siedlung,Eisenzeit,,,"84,35255","0,83392","0,59162",81,3,Stauwasserbden,Humuspseudogley,"0,971","4500762,92600","5733381,10900"
4253,1572,17465,520000,Grube,Siedlung,Eisenzeit,aelter,,"84,31229","0,85854","0,68982",81,3,Stauwasserbden,Humuspseudogley,"2,574","4500775,05400","5733376,06000"
4254,1571,17466,520000,sonstiger Befund,unklar,Eisenzeit,aelter,,"84,31801","0,83125","0,68982",81,3,Stauwasserbden,Humuspseudogley,"0,916","4500773,29400","5733375,74700"
4256,1577,17468,520000,Herdstelle,Siedlung,Bronzezeit,spaet,,"84,36146","0,86825","0,68581",81,3,Stauwasserbden,Humuspseudogley,"1,287","4500747,30500","5733389,91600"
4256,1577,17468,520000,Herdstelle,Siedlung,Eisenzeit,,,"84,36146","0,86825","0,68581",81,3,Stauwasserbden,Humuspseudogley,"1,287","4500747,30500","5733389,91600"
4257,1575,17469,520000,Herdstelle,Siedlung,Bronzezeit,spaet,,"84,36146","0,86825","0,68581",81,3,Stauwasserbden,Humuspseudogley,"2,102","4500750,57900","5733389,61600"
4257,1575,17469,520000,Herdstelle,Siedlung,Eisenzeit,,,"84,36146","0,86825","0,68581",81,3,Stauwasserbden,Humuspseudogley,"2,102","4500750,57900","5733389,61600"
4258,1574,17470,520000,Herdstelle,Siedlung,Bronzezeit,spaet,,"84,35255","0,83392","0,59162",81,3,Stauwasserbden,Humuspseudogley,"0,797","4500764,81800","5733380,78000"
4258,1574,17470,520000,Herdstelle,Siedlung,Eisenzeit,,,"84,35255","0,83392","0,59162",81,3,Stauwasserbden,Humuspseudogley,"0,797","4500764,81800","5733380,78000"
4270,830,17482,520000,Pfostengrube,Siedlung,Neolithikum,mittel,Kugelamphorenkultur,"85,54506","1,59222","0,28840",81,5,Schwarzerden,Braunerde-Tschernosem,"0,164","4500680,01400","5733338,76500"
4278,3,17490,520000,Grube,Siedlung,undat.,,,"85,46500","1,53465","0,31992",81,5,Schwarzerden,Braunerde-Tschernosem,"0,914","4500568,17700","5733373,03900"
4279,1532,17491,520000,Pfostengrube,Siedlung,undat.,,,"84,28018","0,88499","0,59162",81,3,Stauwasserbden,Humuspseudogley,"0,164","4500775,40800","5733385,11500"
4280,784,17492,520000,Pfostengrube,Siedlung,undat.,,,"84,28452","0,86494","0,46708",81,3,Stauwasserbden,Humuspseudogley,"0,107","4500796,46800","5733380,32600"
4281,785,17493,520000,Grube,Siedlung,undat.,,,"84,28452","0,86494","0,30129",81,3,Stauwasserbden,Humuspseudogley,"0,387","4500801,56100","5733369,88700"
4282,786,17494,520000,Pfostengrube,Siedlung,undat.,,,"84,28452","0,86494","0,30129",81,3,Stauwasserbden,Humuspseudogley,"0,102","4500803,85300","5733369,05200"
